geo,time,foreign_direct_investment_net_inflows_percent_of_gdp
cyp,1976,5.624
cyp,1977,5.635
cyp,1978,5.915
cyp,1979,5.473
cyp,1980,3.944
cyp,1981,3.751
cyp,1982,3.312
cyp,1983,3.164
cyp,1984,2.313
cyp,1985,2.385
cyp,1986,1.499
cyp,1987,1.403
cyp,1988,1.452
cyp,1989,1.528
cyp,1990,2.265
cyp,1991,1.418
cyp,1992,1.554
cyp,1993,1.266
cyp,1994,1.012
cyp,1995,2.628
cyp,1996,2.501
cyp,1997,6.137
cyp,1998,3.615
cyp,1999,8.317
cyp,2000,9.177
cyp,2001,9.76
cyp,2002,10.45
cyp,2003,6.818
cyp,2004,7.074
cyp,2005,6.836
cyp,2006,10.15
cyp,2007,10.51
cyp,2008,3.765
cyp,2009,14.89
cyp,2010,8.153
cze,1993,1.903
cze,1994,2.137
cze,1995,4.647
cze,1996,2.315
cze,1997,2.252
cze,1998,5.983
cze,1999,10.49
cze,2000,8.792
cze,2001,9.121
cze,2002,11.29
cze,2003,2.212
cze,2004,4.545
cze,2005,9.315
cze,2006,3.872
cze,2007,6.088
cze,2008,3.042
cze,2009,1.508
cze,2010,3.499
dnk,1970,0.6269
dnk,1971,0.6751
dnk,1972,0.726
dnk,1973,0.7076
dnk,1974,0.7197
dnk,1975,0.6742
dnk,1976,-0.4357
dnk,1977,0.1552
dnk,1978,0.1509
dnk,1979,0.3237
dnk,1980,0.1494
dnk,1981,0.1647
dnk,1982,0.2271
dnk,1983,0.1016
dnk,1984,-0.02661
dnk,1985,0.1815
dnk,1986,0.189
dnk,1987,0.07885
dnk,1988,0.4445
dnk,1989,0.99
dnk,1990,0.8335
dnk,1991,1.136
dnk,1992,0.6774
dnk,1993,1.218
dnk,1994,3.259
dnk,1995,2.275
dnk,1996,0.4194
dnk,1997,1.638
dnk,1998,3.844
dnk,1999,9.686
dnk,2000,22.5
dnk,2001,5.787
dnk,2002,2.548
dnk,2003,0.5572
dnk,2004,-3.598
dnk,2005,4.981
dnk,2006,0.882
dnk,2007,3.792
dnk,2008,0.6372
dnk,2009,1.259
dnk,2010,-2.467
dji,1991,0.4952
dji,1992,0.479
dji,1993,0.3055
dji,1994,0.2895
dji,1995,0.6466
dji,1996,0.6606
dji,1997,0.6168
dji,1998,0.6171
dji,1999,0.5993
dji,2000,0.5961
dji,2001,0.5927
dji,2002,0.5806
dji,2003,2.287
dji,2004,5.787
dji,2005,3.132
dji,2006,14.08
dji,2007,23.04
dji,2008,23.17
dji,2009,9.233
dma,1977,0.22
dma,1981,7.249
dma,1982,0.2776
dma,1983,0.2502
dma,1984,2.56
dma,1985,3.043
dma,1986,4.627
dma,1987,10.7
dma,1988,8.295
dma,1989,11.21
dma,1990,7.749
dma,1991,8.436
dma,1992,10.64
dma,1993,6.586
dma,1994,10.49
dma,1995,24.14
dma,1996,7.528
dma,1997,8.591
dma,1998,2.519
dma,1999,6.706
dma,2000,5.353
dma,2001,5.085
dma,2002,6.043
dma,2003,9.082
dma,2004,7.021
dma,2005,5.225
dma,2006,6.57
dma,2007,9.546
dma,2008,12.19
dma,2009,8.865
dma,2010,5.219
dom,1970,4.82
dom,1971,3.901
dom,1972,2.189
dom,1973,1.471
dom,1974,1.832
dom,1975,1.775
dom,1976,1.518
dom,1977,1.559
dom,1978,1.332
dom,1979,0.311
dom,1980,1.398
dom,1981,1.097
dom,1982,-0.01758
dom,1983,0.559
dom,1984,0.6631
dom,1985,0.7176
dom,1986,0.8167
dom,1987,1.527
dom,1988,1.974
dom,1989,1.645
dom,1990,1.877
dom,1991,1.491
dom,1992,1.593
dom,1993,1.459
dom,1994,1.425
dom,1995,2.533
dom,1996,0.5322
dom,1997,2.147
dom,1998,3.305
dom,1999,6.162
dom,2000,3.971
dom,2001,4.335
dom,2002,3.45
dom,2003,2.882
dom,2004,4.125
dom,2005,3.302
dom,2006,3.017
dom,2007,4.036
dom,2008,6.266
dom,2009,4.628
dom,2010,3.141
ecu,1976,-0.3499
ecu,1977,0.4982
ecu,1978,0.6248
ecu,1979,0.6612
ecu,1980,0.5882
ecu,1981,0.4293
ecu,1982,0.3032
ecu,1983,0.4469
ecu,1984,0.4391
ecu,1985,0.5236
ecu,1986,0.7856
ecu,1987,1.352
ecu,1988,1.704
ecu,1989,1.679
ecu,1990,1.217
ecu,1991,1.41
ecu,1992,1.484
ecu,1993,3.145
ecu,1994,3.102
ecu,1995,2.239
ecu,1996,2.348
ecu,1997,3.061
ecu,1998,3.739
ecu,1999,3.887
ecu,2000,-0.147
ecu,2001,2.534
ecu,2002,3.169
ecu,2003,3.068
ecu,2004,2.564
ecu,2005,1.336
ecu,2006,0.6508
ecu,2007,0.4267
ecu,2008,1.855
ecu,2009,0.613
ecu,2010,0.2886
egy,1977,0.7159
egy,1978,2.143
egy,1979,6.701
egy,1980,2.393
egy,1981,3.215
egy,1982,1.147
egy,1983,1.741
egy,1984,2.379
egy,1985,3.395
egy,1986,3.393
egy,1987,2.34
egy,1988,3.396
egy,1989,3.153
egy,1990,1.702
egy,1991,0.6843
egy,1992,1.097
egy,1993,1.058
egy,1994,2.42
egy,1995,0.994
egy,1996,0.9404
egy,1997,1.135
egy,1998,1.268
egy,1999,1.174
egy,2000,1.237
egy,2001,0.5223
egy,2002,0.7364
egy,2003,0.2863
egy,2004,1.59
egy,2005,5.994
egy,2006,9.344
egy,2007,8.874
egy,2008,5.831
egy,2009,3.551
egy,2010,2.917
slv,1976,0.5566
slv,1977,0.6337
slv,1978,0.7468
slv,1979,-0.2876
slv,1980,0.1645
slv,1981,-0.1664
slv,1982,-0.02942
slv,1983,0.8008
slv,1984,0.3375
slv,1985,0.3263
slv,1986,0.6399
slv,1987,0.4629
slv,1988,0.4048
slv,1989,0.3284
slv,1990,0.03954
slv,1991,0.4741
slv,1992,0.2571
slv,1993,0.2368
slv,1994,0.02696
slv,1995,0.4004
slv,1996,-0.04651
slv,1997,0.5303
slv,1998,9.191
slv,1999,1.731
slv,2000,1.32
slv,2001,2.019
slv,2002,3.285
slv,2003,0.9384
slv,2004,2.299
slv,2005,0.3225
slv,2006,0.0945
slv,2007,0.5228
slv,2008,1.732
slv,2009,1.118
slv,2010,-0.02621
gnq,1985,3.066
gnq,1986,5.696
gnq,1987,1.403
gnq,1988,0.3931
gnq,1989,0.7948
gnq,1990,8.381
gnq,1991,31.64
gnq,1992,3.903
gnq,1993,14.66
gnq,1994,13.52
gnq,1995,77.4
gnq,1996,145.2
gnq,1997,10.74
gnq,1998,60.28
gnq,1999,17.69
gnq,2000,12.32
gnq,2001,54.19
gnq,2002,15.06
gnq,2003,23.36
gnq,2004,6.505
gnq,2005,9.36
gnq,2006,4.889
gnq,2007,9.883
gnq,2008,-4.309
gnq,2009,13.39
gnq,2010,4.962
eri,1996,5.292
eri,1997,5.987
eri,1998,19.92
eri,1999,12.08
eri,2000,4.4
eri,2001,1.76
eri,2002,2.961
eri,2003,2.528
eri,2004,-0.7096
eri,2005,-0.09468
eri,2006,0.03715
eri,2007,-0.00835
eri,2008,-0.01691
eri,2009,0.00192
eri,2010,2.626
est,1992,2.064
est,1993,4.203
est,1994,5.408
est,1995,4.629
est,1996,3.177
est,1997,5.27
est,1998,10.37
est,1999,5.349
est,2000,6.824
est,2001,8.694
est,2002,3.885
est,2003,9.334
est,2004,8.028
est,2005,21.16
est,2006,10.63
est,2007,12.56
est,2008,7.42
est,2009,9.905
est,2010,8.009
eth,1992,0.00121
eth,1993,0.03994
eth,1994,0.2503
eth,1995,0.1859
eth,1996,0.2585
eth,1997,3.245
eth,1998,3.23
eth,1999,0.8941
eth,2000,1.646
eth,2001,4.277
eth,2002,3.274
eth,2003,5.435
eth,2004,5.422
eth,2005,2.154
eth,2006,3.596
eth,2007,1.135
eth,2008,0.4074
eth,2009,0.6929
eth,2010,0.9701
fji,1979,0.9974
fji,1980,3.021
fji,1981,2.933
fji,1982,3.084
fji,1983,2.844
fji,1984,1.979
fji,1985,1.899
fji,1986,0.6226
fji,1987,1.372
fji,1988,2.847
fji,1989,0.741
fji,1990,6.874
fji,1991,0.3722
fji,1992,6.763
fji,1993,5.576
fji,1994,3.701
fji,1995,3.529
fji,1996,0.1138
fji,1997,0.7443
fji,1998,6.459
fji,1999,-1.71
fji,2000,0.03511
fji,2001,2.488
fji,2002,1.665
fji,2003,1.741
fji,2004,9.189
fji,2005,5.179
fji,2006,13.29
fji,2007,9.994
fji,2008,8.619
fji,2009,1.948
fji,2010,6.151
fin,1970,0.1605
fin,1971,0.202
fin,1972,0.254
fin,1973,0.06756
fin,1974,0.1425
fin,1975,0.2344
fin,1976,0.1842
fin,1977,0.1452
fin,1978,0.09434
fin,1979,0.06265
fin,1980,0.05273
fin,1981,0.1924
fin,1982,0.00175
fin,1983,0.168
fin,1984,0.2613
fin,1985,0.2046
fin,1986,0.4807
fin,1987,0.294
fin,1988,0.4961
fin,1989,0.4197
fin,1990,0.5848
fin,1991,-0.1859
fin,1992,0.3598
fin,1993,0.9886
fin,1994,1.486
fin,1995,0.7982
fin,1996,0.8715
fin,1997,1.731
fin,1998,9.27
fin,1999,3.567
fin,2000,7.493
fin,2001,3
fin,2002,6.122
fin,2003,2.114
fin,2004,1.518
fin,2005,2.455
fin,2006,3.714
fin,2007,5.153
fin,2008,-0.8404
fin,2009,0.1903
fin,2010,2.971
fra,1970,0.4226
fra,1971,0.3211
fra,1972,0.3268
fra,1973,0.4304
fra,1974,0.6545
fra,1975,0.4398
fra,1976,0.2661
fra,1977,0.4677
fra,1978,0.4942
fra,1979,0.4278
fra,1980,0.4755
fra,1981,0.4081
fra,1982,0.2759
fra,1983,0.3136
fra,1984,0.4597
fra,1985,0.4776
fra,1986,0.4292
fra,1987,0.5599
fra,1988,0.848
fra,1989,1.023
fra,1990,1.06
fra,1991,1.217
fra,1992,1.591
fra,1993,1.6
fra,1994,1.155
fra,1995,1.51
fra,1996,1.397
fra,1997,1.621
fra,1998,2.01
fra,1999,3.158
fra,2000,3.195
fra,2001,3.762
fra,2002,3.414
fra,2003,2.403
fra,2004,1.597
fra,2005,3.978
fra,2006,3.184
fra,2007,3.807
fra,2008,2.35
fra,2009,1.338
fra,2010,1.315
gab,1978,2.366
gab,1979,1.817
gab,1980,0.7366
gab,1981,1.413
gab,1982,3.641
gab,1983,3.298
gab,1984,0.2281
gab,1985,0.4518
gab,1986,3.239
gab,1987,2.737
gab,1988,3.457
gab,1989,-0.7293
gab,1990,1.234
gab,1991,-1.01
gab,1992,2.27
gab,1993,-2.597
gab,1994,-2.377
gab,1995,-6.343
gab,1996,-8.589
gab,1997,-5.844
gab,1998,3.27
gab,1999,-3.359
gab,2000,-0.8411
gab,2001,-1.89
gab,2002,0.7901
gab,2003,2.609
gab,2004,4.451
gab,2005,2.796
gab,2006,2.805
gab,2007,2.328
gab,2008,1.438
gab,2009,0.2999
gab,2010,1.297
gmb,1978,1.166
gmb,1979,5.639
gmb,1980,0.1161
gmb,1981,1.042
gmb,1982,0.125
gmb,1983,-0.1874
gmb,1984,-0.9586
gmb,1985,-0.2215
gmb,1986,-1.074
gmb,1987,0.6694
gmb,1988,0.439
gmb,1989,5.205
gmb,1990,4.455
gmb,1991,2.903
gmb,1992,1.822
gmb,1993,3.02
gmb,1994,2.678
gmb,1995,2.023
gmb,1996,2.722
gmb,1997,2.848
gmb,2003,5.2
gmb,2004,13.85
gmb,2005,11.64
gmb,2006,16.17
gmb,2007,12
gmb,2008,9.565
gmb,2009,5.378
gmb,2010,4.633
geo,1997,6.908
geo,1998,7.342
geo,1999,2.939
geo,2000,4.292
geo,2001,3.412
geo,2002,4.718
geo,2003,8.384
geo,2004,9.605
geo,2005,7.062
geo,2006,15.11
geo,2007,17.21
geo,2008,12.22
geo,2009,6.115
geo,2010,7
deu,1971,0.4561
deu,1972,0.654
deu,1973,0.5453
deu,1974,0.5052
deu,1975,0.1454
deu,1976,0.2627
deu,1977,0.1635
deu,1978,0.2238
deu,1979,0.2031
deu,1980,0.03724
deu,1981,0.04131
deu,1982,0.1012
deu,1983,0.2312
deu,1984,0.07552
deu,1985,0.1159
deu,1986,0.2214
deu,1987,0.1686
deu,1988,0.07852
deu,1989,0.5181
deu,1990,0.1752
deu,1991,0.2625
deu,1992,-0.1026
deu,1993,0.01999
deu,1994,0.3394
deu,1995,0.4751
deu,1996,0.2638
deu,1997,0.5932
deu,1998,1.085
deu,1999,2.623
deu,2000,11.14
deu,2001,1.391
deu,2002,2.671
deu,2003,1.276
deu,2004,-0.3596
deu,2005,1.68
deu,2006,1.951
deu,2007,2.425
deu,2008,0.1321
deu,2009,1.18
deu,2010,1.406
gha,1975,2.522
gha,1976,-0.6604
gha,1977,0.6025
gha,1978,0.2647
gha,1979,-0.06965
gha,1980,0.3509
gha,1981,0.3852
gha,1982,0.4039
gha,1983,0.05915
gha,1984,0.04533
gha,1985,0.1243
gha,1986,0.07508
gha,1987,0.09261
gha,1988,0.09625
gha,1989,0.2858
gha,1990,0.2514
gha,1991,0.303
gha,1992,0.3509
gha,1993,2.095
gha,1994,4.283
gha,1995,1.649
gha,1996,1.733
gha,1997,1.188
gha,1998,2.24
gha,1999,3.161
gha,2000,3.333
gha,2001,1.682
gha,2002,0.9562
gha,2003,1.794
gha,2004,1.57
gha,2005,1.352
gha,2006,3.119
gha,2007,3.473
gha,2008,4.278
gha,2009,6.485
gha,2010,7.822
grc,1970,0.3954
grc,1971,0.3019
grc,1972,0.3416
grc,1973,0.2909
grc,1974,0.2772
grc,1975,0.08823
grc,1976,1.027
grc,1977,1.122
grc,1978,1.014
grc,1979,1.18
grc,1980,1.24
grc,1981,1.042
grc,1982,0.8371
grc,1983,0.9314
grc,1984,1.059
grc,1985,0.9803
grc,1986,0.8761
grc,1987,1.091
grc,1988,1.247
grc,1989,0.9961
grc,1990,1.077
grc,1991,1.132
grc,1992,1.032
grc,1993,0.9416
grc,1994,0.8823
grc,1995,0.8068
grc,1996,0.7665
grc,1997,0.7308
grc,1999,0.4259
grc,2000,0.8708
grc,2001,1.221
grc,2002,0.03633
grc,2003,0.6905
grc,2004,0.9234
grc,2005,0.2739
grc,2006,2.061
grc,2007,0.6424
grc,2008,1.554
grc,2009,0.7518
grc,2010,0.1428
grd,1977,-0.1875
grd,1978,2.073
grd,1982,1.995
grd,1983,2.47
grd,1984,2.543
grd,1985,3.207
grd,1986,3.112
grd,1987,8.804
grd,1988,8.119
grd,1989,4.919
grd,1990,5.824
grd,1991,6.323
grd,1992,9
grd,1993,8.091
grd,1994,7.377
grd,1995,7.231
grd,1996,5.757
grd,1997,10.99
grd,1998,14.28
grd,1999,10.95
grd,2000,7.197
grd,2001,11.31
grd,2002,10.09
grd,2003,15.14
grd,2004,10.95
grd,2005,10.06
grd,2006,12.81
grd,2007,20.62
grd,2008,17.14
grd,2009,13.47
grd,2010,7.786
gtm,1977,1.779
gtm,1978,2.095
gtm,1979,1.695
gtm,1980,1.405
gtm,1981,1.477
gtm,1982,0.8845
gtm,1983,0.4972
gtm,1984,0.4013
gtm,1985,0.6357
gtm,1986,0.9513
gtm,1987,2.12
gtm,1988,4.207
gtm,1989,0.906
gtm,1990,0.6235
gtm,1991,0.9643
gtm,1992,0.9013
gtm,1993,1.25
gtm,1994,0.5022
gtm,1995,0.5131
gtm,1996,0.4873
gtm,1997,0.4745
gtm,1998,3.469
gtm,1999,0.844
gtm,2000,1.192
gtm,2001,2.436
gtm,2002,0.5324
gtm,2003,0.5977
gtm,2004,1.235
gtm,2005,1.869
gtm,2006,1.958
gtm,2007,2.184
gtm,2008,1.926
gtm,2009,1.592
gtm,2010,2.139
gin,1986,0.4369
gin,1987,0.6294
gin,1988,0.6576
gin,1989,0.507
gin,1990,0.6698
gin,1991,1.286
gin,1992,0.5995
gin,1993,0.08295
gin,1994,0.00621
gin,1995,0.02082
gin,1996,0.6145
gin,1997,0.4572
gin,1998,0.4963
gin,1999,1.833
gin,2000,0.3194
gin,2001,0.05798
gin,2002,0.9825
gin,2003,2.291
gin,2004,2.67
gin,2005,3.575
gin,2006,4.431
gin,2007,9.168
gin,2008,10.11
gin,2009,1.196
gin,2010,2.247
gnb,1975,-0.1193
gnb,1977,0.03479
gnb,1979,0.194
gnb,1984,1.654
gnb,1985,1.001
gnb,1986,0.6297
gnb,1987,0.06903
gnb,1988,0.4135
gnb,1989,0.2205
gnb,1990,0.828
gnb,1991,0.8128
gnb,1992,2.576
gnb,1993,1.393
gnb,1994,0.1825
gnb,1995,0.01575
gnb,1996,0.3809
gnb,1997,4.274
gnb,1998,2.135
gnb,1999,0.3256
gnb,2000,0.3259
gnb,2001,0.1988
gnb,2002,1.749
gnb,2003,0.8429
gnb,2004,0.3303
gnb,2005,1.517
gnb,2006,3.064
gnb,2007,2.717
gnb,2008,0.6073
gnb,2009,2.091
gnb,2010,1.007
guy,1977,-0.3923
guy,1978,0.7928
guy,1979,0.1109
guy,1980,0.09752
guy,1981,-0.3117
guy,1982,0.9198
guy,1983,0.9673
guy,1984,1.026
guy,1985,0.3993
guy,1986,-1.783
guy,1987,1.227
guy,1988,0.5075
guy,1989,-0.5424
guy,1990,1.992
guy,1991,3.665
guy,1992,39.81
guy,1993,15.72
guy,1994,19.73
guy,1995,11.97
guy,1996,8.364
guy,1997,6.941
guy,1998,6.132
guy,1999,6.621
guy,2000,9.415
guy,2001,8.043
guy,2002,6.035
guy,2003,3.518
guy,2004,3.817
guy,2005,9.31
guy,2006,7.021
guy,2007,8.757
guy,2008,8.738
guy,2009,10.27
guy,2010,12.11
hti,1991,-0.05178
hti,1992,-0.1042
hti,1993,-0.155
hti,1994,-0.1318
hti,1995,0.2745
hti,1996,0.138
hti,1997,0.1234
hti,1998,0.2864
hti,1999,0.7337
hti,2000,0.3616
hti,2001,0.1254
hti,2002,0.1773
hti,2003,0.4882
hti,2004,0.1612
hti,2005,0.6259
hti,2006,3.291
hti,2007,1.248
hti,2008,0.4651
hti,2009,0.5858
hti,2010,2.236
hnd,1974,-0.1112
hnd,1975,0.6228
hnd,1976,0.3895
hnd,1977,0.5331
hnd,1978,0.6815
hnd,1979,1.252
hnd,1980,0.226
hnd,1981,-0.1277
hnd,1982,0.4753
hnd,1983,0.6825
hnd,1984,0.6161
hnd,1985,0.7556
hnd,1986,0.7877
hnd,1987,0.9308
hnd,1988,1.217
hnd,1989,1.431
hnd,1990,1.427
hnd,1991,1.698
hnd,1992,1.392
hnd,1993,0.7668
hnd,1994,1.014
hnd,1995,1.278
hnd,1996,2.253
hnd,1997,2.606
hnd,1998,1.903
hnd,1999,4.417
hnd,2000,5.371
hnd,2001,4.021
hnd,2002,3.538
hnd,2003,4.892
hnd,2004,6.165
hnd,2005,6.147
hnd,2006,6.129
hnd,2007,7.504
hnd,2008,6.694
hnd,2009,3.691
hnd,2010,5.178
hkg,1998,8.846
hkg,1999,15.05
hkg,2000,36.62
hkg,2001,14.27
hkg,2002,5.912
hkg,2003,8.592
hkg,2004,20.52
hkg,2005,18.91
hkg,2006,23.72
hkg,2007,26.25
hkg,2008,27.68
hkg,2009,25.04
hkg,2010,31.66
hun,1990,1.675
hun,1991,4.287
hun,1992,3.892
hun,1993,5.967
hun,1994,2.701
hun,1995,10.54
hun,1996,7.161
hun,1997,8.929
hun,1998,6.972
hun,1999,6.855
hun,2000,5.973
hun,2001,7.481
hun,2002,4.538
hun,2003,2.606
hun,2004,4.201
hun,2005,6.913
hun,2006,17.35
hun,2007,52.05
hun,2008,47.03
hun,2009,3.26
hun,2010,-32.87
isl,1976,0.2736
isl,1977,0.193
isl,1978,0.3273
isl,1979,0.1103
isl,1980,0.6694
isl,1981,1.54
isl,1982,1.133
isl,1983,-0.8587
isl,1984,0.4855
isl,1985,0.8028
isl,1986,0.2163
isl,1987,0.04413
isl,1988,-0.246
isl,1989,-0.4903
isl,1990,0.3475
isl,1991,0.2712
isl,1992,-0.1868
isl,1993,0.00345
isl,1994,-0.02181
isl,1995,-0.1327
isl,1996,1.137
isl,1997,1.991
isl,1998,1.806
isl,1999,0.7481
isl,2000,1.786
isl,2001,2.098
isl,2002,1.039
isl,2003,3.064
isl,2004,5.713
isl,2005,19.18
isl,2006,23.34
isl,2007,33.67
isl,2008,7.166
isl,2009,0.5249
isl,2010,2.048
ind,1975,-0.01065
ind,1976,-0.00762
ind,1977,-0.03012
ind,1978,0.01336
ind,1979,0.0322
ind,1980,0.04307
ind,1981,0.04826
ind,1982,0.03647
ind,1983,0.00262
ind,1984,0.00918
ind,1985,0.04614
ind,1986,0.04779
ind,1987,0.07693
ind,1988,0.03113
ind,1989,0.08607
ind,1990,0.07456
ind,1991,0.02749
ind,1992,0.1126
ind,1993,0.1994
ind,1994,0.3009
ind,1995,0.6016
ind,1996,0.6247
ind,1997,0.8706
ind,1998,0.6329
ind,1999,0.4814
ind,2000,0.7789
ind,2001,1.145
ind,2002,1.109
ind,2003,0.7211
ind,2004,0.7998
ind,2005,0.912
ind,2006,2.138
ind,2007,2.051
ind,2008,3.57
ind,2009,2.585
ind,2010,1.399
idn,1981,0.1438
idn,1982,0.2376
idn,1983,0.342
idn,1984,0.2534
idn,1985,0.3549
idn,1986,0.3223
idn,1987,0.507
idn,1988,0.6487
idn,1989,0.6722
idn,1990,0.9552
idn,1991,1.156
idn,1992,1.277
idn,1993,1.268
idn,1994,1.192
idn,1995,2.15
idn,1996,2.724
idn,1997,2.168
idn,1998,-0.2523
idn,1999,-1.333
idn,2000,-2.757
idn,2001,-1.856
idn,2002,0.07415
idn,2003,-0.2543
idn,2004,0.7382
idn,2005,2.916
idn,2006,1.348
idn,2007,1.603
idn,2008,1.826
idn,2009,0.9043
idn,2010,1.892
irn,1970,0.2644
irn,1971,0.4938
irn,1972,0.5579
irn,1973,2.177
irn,1974,0.7297
irn,1975,1.01
irn,1976,-0.1597
irn,1977,0.462
irn,1978,1.245
irn,1979,0.1907
irn,1980,0.08986
irn,1981,0.02907
irn,1982,-0.112
irn,1983,-0.05333
irn,1984,0.02789
irn,1985,-0.02235
irn,1986,-0.05657
irn,1987,-0.2406
irn,1988,0.05205
irn,1989,-0.01703
irn,1990,-0.3119
irn,1993,0.3454
irn,1994,0.00298
irn,1995,0.01872
irn,1996,0.02351
irn,1997,0.05033
irn,1998,0.02338
irn,1999,0.03344
irn,2000,0.0385
irn,2001,0.9394
irn,2002,3.141
irn,2003,1.992
irn,2004,1.754
irn,2005,1.633
irn,2006,0.7388
irn,2007,0.5836
irn,2008,0.4777
irn,2009,0.9112
irq,1970,-0.02534
irq,1971,-0.00434
irq,1972,-0.00168
irq,1973,-0.101
irq,1974,-0.06794
irq,1975,-0.2791
irq,1976,0.00696
irq,1977,0.01882
irq,1978,0.00108
irq,1979,0.00407
irq,1980,0.00322
irq,1981,0.01265
irq,1982,0.00658
irq,1983,0.00392
irq,1984,-0.01107
irq,1985,0.00088
irq,1986,0.00488
irq,1987,0.03023
irq,1988,0.00055
irq,1989,0.00551
irq,1997,0.01107
irq,1998,0.06792
irq,1999,-0.03846
irq,2000,-0.01214
irq,2001,-0.03406
irq,2002,-0.00838
irq,2004,1.165
irq,2005,1.645
irq,2006,0.8496
irq,2007,1.705
irq,2008,2.145
irq,2009,2.226
irq,2010,1.736
irl,1974,0.6687
irl,1975,1.72
irl,1976,1.884
irl,1977,1.249
irl,1978,2.642
irl,1979,1.896
irl,1980,1.358
irl,1981,1.015
irl,1982,1.162
irl,1983,0.8426
irl,1984,0.6225
irl,1985,0.7936
irl,1986,-0.1451
irl,1987,0.2713
irl,1988,0.2499
irl,1989,0.2237
irl,1990,1.312
irl,1991,2.811
irl,1992,2.659
irl,1993,2.206
irl,1994,1.514
irl,1995,2.158
irl,1996,3.539
irl,1997,3.38
irl,1998,12.52
irl,1999,19
irl,2000,26.15
irl,2001,9.056
irl,2002,23.85
irl,2003,14.08
irl,2004,-5.881
irl,2005,-14.92
irl,2006,-2.469
irl,2007,9.456
irl,2008,-6.197
irl,2009,11.9
irl,2010,13.11
isr,1970,0.9121
isr,1971,1.023
isr,1972,1.589
isr,1973,1.612
isr,1974,0.6684
isr,1975,0.3648
isr,1976,0.3767
isr,1977,0.588
isr,1978,0.2864
isr,1979,0.06282
isr,1980,0.2341
isr,1981,0.4932
isr,1982,0.08668
isr,1983,0.2861
isr,1984,0.3437
isr,1985,0.4655
isr,1986,0.4828
isr,1987,0.6317
isr,1988,0.6088
isr,1989,0.3596
isr,1990,0.2877
isr,1991,0.5841
isr,1992,0.8948
isr,1993,0.9175
isr,1994,0.5914
isr,1995,1.406
isr,1996,1.326
isr,1997,1.507
isr,1998,1.581
isr,1999,3.746
isr,2000,6.451
isr,2001,1.439
isr,2002,1.4
isr,2003,2.794
isr,2004,2.323
isr,2005,3.589
isr,2006,10.49
isr,2007,5.269
isr,2008,5.381
isr,2009,2.271
isr,2010,2.371
ita,1970,0.5713
ita,1971,0.4579
ita,1972,0.4815
ita,1973,0.3927
ita,1974,0.3102
ita,1975,0.2942
ita,1976,0.05019
ita,1977,0.4546
ita,1978,0.1568
ita,1979,0.1095
ita,1980,0.1254
ita,1981,0.2716
ita,1982,0.1499
ita,1983,0.2787
ita,1984,0.313
ita,1985,0.246
ita,1986,-0.02784
ita,1987,0.5378
ita,1988,0.7917
ita,1989,0.242
ita,1990,0.5656
ita,1991,0.2008
ita,1992,0.2441
ita,1993,0.3654
ita,1994,0.2077
ita,1995,0.4278
ita,1996,0.28
ita,1997,0.3087
ita,1998,0.2151
ita,1999,0.5747
ita,2000,1.194
ita,2001,1.324
ita,2002,1.2
ita,2003,1.092
ita,2004,0.9675
ita,2005,1.099
ita,2006,2.083
ita,2007,1.882
ita,2008,-0.4112
ita,2009,0.7813
ita,2010,0.4655
jam,1976,-0.02023
jam,1977,-0.2985
jam,1978,-1.006
jam,1979,-1.089
jam,1980,1.034
jam,1981,-0.386
jam,1982,-0.4797
jam,1983,-0.5167
jam,1984,0.514
jam,1985,-0.4285
jam,1986,-0.167
jam,1987,1.625
jam,1988,-0.3135
jam,1989,1.296
jam,1990,3.003
jam,1991,3.244
jam,1992,4.028
jam,1993,1.593
jam,1994,2.626
jam,1995,2.535
jam,1996,2.814
jam,1997,2.721
jam,1998,4.222
jam,1999,5.93
jam,2000,5.198
jam,2001,6.743
jam,2002,4.972
jam,2003,7.668
jam,2004,5.936
jam,2005,6.12
jam,2006,7.358
jam,2007,6.72
jam,2008,10.08
jam,2009,4.301
jam,2010,1.597
jpn,1977,0.00286
jpn,1978,0.00102
jpn,1979,0.02348
jpn,1980,0.02614
jpn,1981,0.01605
jpn,1982,0.03999
jpn,1983,0.03416
jpn,1984,-0.00078
jpn,1985,0.04675
jpn,1986,0.01119
jpn,1987,0.04742
jpn,1988,-0.01621
jpn,1989,-0.03492
jpn,1990,0.05812
jpn,1991,0.0369
jpn,1992,0.07271
jpn,1993,0.00273
jpn,1994,0.01908
jpn,1995,0.00075
jpn,1996,0.00447
jpn,1997,0.07509
jpn,1998,0.08473
jpn,1999,0.2817
jpn,2000,0.1763
jpn,2001,0.1512
jpn,2002,0.2319
jpn,2003,0.1475
jpn,2004,0.1695
jpn,2005,0.0706
jpn,2006,-0.1555
jpn,2007,0.5066
jpn,2008,0.5031
jpn,2009,0.2351
jpn,2010,-0.02489
jor,1972,0.07102
jor,1973,0.2257
jor,1974,0.5704
jor,1975,1.881
jor,1976,-0.4567
jor,1977,0.5467
jor,1978,2.213
jor,1979,0.8073
jor,1980,0.8539
jor,1981,3.167
jor,1982,1.232
jor,1983,0.6922
jor,1984,1.504
jor,1985,0.4874
jor,1986,0.3681
jor,1987,0.6053
jor,1988,0.3923
jor,1989,-0.0327
jor,1990,0.9364
jor,1991,-0.2835
jor,1992,0.7668
jor,1993,-0.5985
jor,1994,0.04577
jor,1995,0.1978
